image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,attenunet_prnu_illum_iou,attenunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou
0,0.970818,0.963253,0.922843,0.969215,0.955496,0.964479,0.948056,0.954808,0.965763,0.966984,0.942568,0.964346
1,0.952806,0.954604,0.93591,0.945249,0.936705,0.933877,0.945118,0.939574,0.945827,0.941343,0.947588,0.945283
2,0.942455,0.938419,0.921994,0.932862,0.917587,0.949698,0.924647,0.941902,0.932459,0.948234,0.936603,0.939778
3,0.92548,0.963012,0.949675,0.954747,0.951426,0.953395,0.963339,0.952004,0.93842,0.957721,0.959596,0.959202
4,0.926904,0.935931,0.941154,0.955455,0.934216,0.937857,0.936741,0.927843,0.934095,0.936106,0.95168,0.944088
5,0.949393,0.965925,0.953232,0.944154,0.938177,0.959155,0.942485,0.964943,0.942281,0.965984,0.955188,0.957143
6,0.957272,0.959788,0.945335,0.964972,0.950551,0.953657,0.932281,0.949176,0.957802,0.959184,0.94008,0.962838
7,0.962694,0.953409,0.93926,0.937584,0.971767,0.943045,0.941156,0.92797,0.968056,0.949725,0.94454,0.934415
8,0.947368,0.949604,0.941135,0.95348,0.946082,0.968226,0.949928,0.967372,0.946877,0.961235,0.948024,0.961085
9,0.954251,0.964396,0.940395,0.944802,0.975571,0.947511,0.959305,0.950838,0.970941,0.964715,0.957911,0.949146
10,0.961758,0.959382,0.90271,0.957672,0.960843,0.953651,0.896641,0.962741,0.9631,0.958822,0.902439,0.966412
11,0.930603,0.956114,0.926767,0.935869,0.932402,0.961653,0.902146,0.959626,0.935252,0.962907,0.919384,0.956571
12,0.979381,0.976436,0.936555,0.974274,0.979305,0.981965,0.951327,0.977565,0.981905,0.98084,0.94174,0.983782
13,0.94271,0.967081,0.918015,0.958104,0.94014,0.966606,0.928623,0.95633,0.945956,0.972824,0.92708,0.955213
14,0.905697,0.9138,0.884155,0.901435,0.919305,0.892747,0.906842,0.919106,0.919172,0.907157,0.898324,0.911417
15,0.945553,0.933492,0.945946,0.943691,0.949341,0.920613,0.948234,0.95322,0.952268,0.931105,0.947927,0.952413
16,0.961763,0.968647,0.96443,0.959957,0.952295,0.944627,0.90939,0.949458,0.960713,0.959766,0.958884,0.958755
17,0.917266,0.902975,0.873225,0.910421,0.893759,0.902086,0.872465,0.910242,0.903009,0.904003,0.870268,0.911701
18,0.935906,0.947402,0.924511,0.966064,0.953914,0.952806,0.954574,0.949588,0.95,0.947737,0.959459,0.955252
19,0.954668,0.966644,0.950984,0.959599,0.962353,0.967643,0.948615,0.973184,0.960995,0.972156,0.94935,0.970946
20,0.971793,0.96412,0.925241,0.954563,0.951967,0.958127,0.915997,0.954184,0.964012,0.963119,0.919882,0.952741
21,0.933552,0.943062,0.945581,0.941201,0.942389,0.926141,0.938317,0.943987,0.940441,0.948588,0.941946,0.942952
22,0.948375,0.940106,0.894698,0.960526,0.954511,0.955039,0.928896,0.945739,0.956655,0.947147,0.918161,0.955367
23,0.963507,0.972222,0.958219,0.956951,0.97515,0.96514,0.979167,0.955608,0.971679,0.974878,0.971859,0.959176
24,0.95074,0.954944,0.931074,0.958884,0.955816,0.956114,0.897689,0.942442,0.953614,0.95639,0.91605,0.954683
25,0.938737,0.914695,0.955991,0.931618,0.922305,0.913768,0.970037,0.918516,0.932538,0.91925,0.969369,0.925302
26,0.973014,0.975094,0.952009,0.97283,0.971258,0.956234,0.96367,0.960253,0.981089,0.969392,0.961092,0.971107
27,0.944148,0.937767,0.810453,0.942693,0.934485,0.94659,0.791852,0.94347,0.945878,0.956974,0.800484,0.950502
28,0.97115,0.938001,0.943101,0.920775,0.944075,0.956429,0.954093,0.906703,0.956106,0.947664,0.958125,0.913205
29,0.850995,0.876761,0.884315,0.8836,0.933549,0.914376,0.936051,0.896637,0.922327,0.911268,0.918852,0.894423
30,0.970445,0.97391,0.946284,0.969174,0.960262,0.960087,0.933608,0.972572,0.974084,0.972724,0.953731,0.973053
31,0.943425,0.962667,0.884128,0.967263,0.955337,0.956621,0.939864,0.954927,0.955048,0.961876,0.911103,0.96374
32,0.912288,0.912935,0.903921,0.897765,0.920833,0.870093,0.868347,0.855838,0.918706,0.898236,0.886289,0.868167
33,0.914274,0.90967,0.827773,0.908983,0.90012,0.910364,0.807692,0.919841,0.907784,0.916467,0.822335,0.924182
34,0.904367,0.879518,0.939701,0.899326,0.929092,0.85806,0.974587,0.887988,0.916161,0.863799,0.962302,0.891111
35,0.959073,0.964104,0.930672,0.966833,0.965852,0.968761,0.922581,0.971613,0.966739,0.965905,0.930561,0.972372
36,0.948471,0.957288,0.947229,0.958292,0.950568,0.965901,0.930542,0.95919,0.953224,0.96275,0.941176,0.962358
37,0.920659,0.899365,0.894531,0.899414,0.931818,0.930878,0.908822,0.906189,0.927602,0.911067,0.903337,0.903969
38,0.955848,0.966667,0.947576,0.956202,0.949807,0.9517,0.936112,0.957221,0.959192,0.965949,0.9427,0.968198
39,0.94077,0.909983,0.838843,0.943057,0.93288,0.925705,0.828996,0.929327,0.940671,0.917984,0.836296,0.945407
40,0.968297,0.959582,0.919795,0.950617,0.960864,0.95857,0.94608,0.959518,0.96687,0.96305,0.933898,0.961422
41,0.969276,0.955811,0.971175,0.963768,0.969192,0.96558,0.94086,0.948431,0.968716,0.970784,0.965947,0.965855
42,0.926157,0.923948,0.948649,0.925194,0.930378,0.916855,0.953199,0.933508,0.930944,0.922977,0.960678,0.933965
43,0.953333,0.961392,0.92068,0.967824,0.967516,0.954242,0.917001,0.932287,0.96865,0.962174,0.942525,0.950219
44,0.952977,0.959372,0.916407,0.975164,0.9547,0.957011,0.933333,0.949577,0.959114,0.959686,0.927997,0.95883
45,0.936116,0.920743,0.944341,0.905367,0.930581,0.926829,0.926784,0.919582,0.936131,0.923214,0.93902,0.909996
46,0.917466,0.874548,0.940491,0.924383,0.892434,0.856624,0.915848,0.95045,0.906727,0.86578,0.943692,0.938161
47,0.969031,0.965147,0.967323,0.96419,0.956423,0.960253,0.967183,0.960197,0.971532,0.969356,0.973732,0.962399
48,0.946671,0.94076,0.943857,0.95753,0.947047,0.938931,0.941826,0.956888,0.95318,0.947823,0.954515,0.965913
49,0.940031,0.962554,0.946822,0.967604,0.966425,0.938927,0.969771,0.959159,0.973595,0.959247,0.961468,0.966972
50,0.959106,0.950566,0.957093,0.951558,0.944403,0.942007,0.91564,0.963504,0.949381,0.951091,0.93634,0.958602
51,0.912842,0.920488,0.860825,0.901823,0.904445,0.909481,0.875865,0.871592,0.910841,0.918679,0.874445,0.892814
52,0.973373,0.952759,0.969573,0.982554,0.976778,0.964299,0.960586,0.942608,0.984404,0.962976,0.97006,0.958563
53,0.950826,0.935287,0.869549,0.962792,0.957039,0.937832,0.893674,0.954755,0.956204,0.936954,0.888805,0.96238
54,0.975441,0.966922,0.950225,0.97314,0.968044,0.972213,0.927002,0.957018,0.974991,0.977115,0.941136,0.967984
55,0.878462,0.923738,0.867292,0.873892,0.891955,0.919588,0.871957,0.909797,0.88706,0.926156,0.871778,0.893511
56,0.934252,0.955477,0.959813,0.945042,0.938456,0.935055,0.960252,0.943498,0.939513,0.946604,0.963443,0.948609
57,0.949227,0.928045,0.932404,0.951166,0.925108,0.947069,0.933946,0.922654,0.940841,0.935624,0.944756,0.945525
58,0.942126,0.949842,0.968494,0.945871,0.9588,0.938407,0.946042,0.944048,0.953025,0.945232,0.963366,0.947327
59,0.934541,0.89833,0.914077,0.92487,0.939383,0.950495,0.918681,0.922483,0.935855,0.934965,0.924376,0.934566
60,0.933636,0.919007,0.941152,0.909454,0.925226,0.929334,0.938038,0.911085,0.92623,0.92638,0.944966,0.9136
61,0.915713,0.937761,0.888734,0.936568,0.898145,0.927447,0.756388,0.920028,0.904583,0.93437,0.865243,0.929213
62,0.945185,0.960046,0.927692,0.95669,0.965035,0.965491,0.909509,0.959646,0.958751,0.964327,0.921093,0.961435
63,0.889793,0.928158,0.906939,0.936385,0.942165,0.923195,0.875198,0.917777,0.915813,0.92714,0.896994,0.925585
64,0.973538,0.960247,0.96753,0.972541,0.972366,0.965145,0.970052,0.968374,0.973273,0.973584,0.97134,0.971982
65,0.973538,0.960247,0.96753,0.972541,0.972366,0.965145,0.970052,0.968374,0.973273,0.973584,0.97134,0.971982
66,0.93637,0.940351,0.915718,0.941917,0.936252,0.944327,0.937249,0.934403,0.937871,0.944425,0.926768,0.940847
67,0.961715,0.932359,0.955749,0.945825,0.958972,0.951363,0.940076,0.961491,0.964628,0.948298,0.963399,0.956021
68,0.970206,0.946074,0.945312,0.966456,0.975433,0.963591,0.968631,0.946596,0.979107,0.959068,0.95476,0.955144
69,0.921162,0.929844,0.941132,0.935629,0.926324,0.939727,0.891967,0.939782,0.926383,0.937711,0.914795,0.942083
70,0.923301,0.959942,0.924396,0.951087,0.950938,0.934349,0.931521,0.956943,0.940558,0.953387,0.936463,0.972061
71,0.95127,0.938255,0.939973,0.950842,0.945411,0.942592,0.932169,0.924458,0.949042,0.944633,0.942236,0.946816
72,0.961246,0.950909,0.952155,0.963477,0.944668,0.960332,0.93923,0.964156,0.957711,0.961176,0.958909,0.96474
73,0.96102,0.960058,0.953018,0.944989,0.958591,0.934449,0.95207,0.970962,0.961776,0.954125,0.960613,0.964592
74,0.956211,0.961451,0.960938,0.965327,0.969261,0.975673,0.975321,0.967605,0.962866,0.972331,0.972396,0.973529
75,0.942088,0.942378,0.919968,0.961948,0.919229,0.952869,0.932746,0.939211,0.940622,0.948833,0.930084,0.958418
76,0.943396,0.954138,0.90953,0.941869,0.955405,0.953431,0.853072,0.914418,0.955746,0.954984,0.886364,0.924938
77,0.930715,0.96411,0.885435,0.962811,0.945783,0.928571,0.881967,0.882374,0.940912,0.951577,0.896903,0.934269
78,0.963455,0.959486,0.948624,0.960092,0.942728,0.9666,0.949203,0.965654,0.95557,0.965826,0.957681,0.96627
79,0.975142,0.96282,0.924797,0.958511,0.961579,0.959815,0.967856,0.953537,0.968507,0.966312,0.946188,0.962478
80,0.942479,0.954469,0.902765,0.956751,0.923692,0.940114,0.872148,0.956982,0.936318,0.945819,0.886478,0.96257
81,0.963504,0.96553,0.930938,0.971816,0.957786,0.945687,0.947854,0.951132,0.971182,0.956225,0.942857,0.978801
82,0.947777,0.963472,0.977842,0.934266,0.954792,0.950054,0.976259,0.949426,0.957424,0.960636,0.983678,0.941634
83,0.961286,0.956239,0.934822,0.957286,0.951211,0.934038,0.918588,0.935733,0.963656,0.954115,0.928855,0.963557
84,0.966366,0.936585,0.943213,0.969466,0.960293,0.957698,0.962873,0.961699,0.966202,0.949513,0.957957,0.968663
85,0.955283,0.949292,0.941956,0.921762,0.94386,0.954959,0.924809,0.911776,0.950588,0.950433,0.93622,0.913323
86,0.954985,0.961317,0.912846,0.969303,0.963685,0.963275,0.873654,0.974925,0.964741,0.964467,0.898163,0.976557
87,0.966585,0.966922,0.901445,0.967562,0.974549,0.961941,0.928691,0.960208,0.972467,0.976174,0.915699,0.965925
88,0.962535,0.943198,0.946794,0.96462,0.969571,0.949463,0.945633,0.97104,0.971429,0.952398,0.962871,0.973849
89,0.924958,0.921886,0.824697,0.927204,0.916464,0.9329,0.824016,0.916158,0.924528,0.929129,0.822882,0.920273
90,0.962994,0.967648,0.914935,0.977843,0.974594,0.96281,0.903238,0.965015,0.974113,0.967675,0.908534,0.972037
91,0.903982,0.850947,0.851201,0.897017,0.927935,0.914348,0.913674,0.922189,0.916915,0.871194,0.90402,0.902421
92,0.938586,0.934039,0.909228,0.945373,0.946515,0.95638,0.91711,0.954746,0.940986,0.944104,0.913225,0.95987
93,0.903861,0.877064,0.915966,0.90478,0.885331,0.929224,0.892233,0.901815,0.891353,0.898179,0.907442,0.90123
94,0.945331,0.942183,0.961617,0.975485,0.952317,0.953763,0.951629,0.964298,0.949983,0.952316,0.958742,0.971225
95,0.957831,0.961231,0.897629,0.934241,0.932459,0.940828,0.877469,0.958931,0.948405,0.954329,0.884615,0.950217
96,0.951975,0.962911,0.892323,0.945044,0.946077,0.957173,0.931373,0.956657,0.955311,0.961888,0.915622,0.961248
97,0.919601,0.932687,0.916765,0.945226,0.952795,0.906231,0.859772,0.949868,0.955198,0.924372,0.894335,0.950161
98,0.918052,0.921492,0.931452,0.929791,0.961771,0.943083,0.967113,0.931289,0.938262,0.932941,0.956592,0.936062
99,0.965787,0.91135,0.953498,0.971202,0.973211,0.964963,0.967755,0.935809,0.970918,0.954809,0.96264,0.954863
100,0.959464,0.955423,0.953464,0.953136,0.956184,0.958838,0.946936,0.954183,0.960014,0.962859,0.954843,0.955229
101,0.906111,0.943618,0.922251,0.924024,0.929512,0.933386,0.91028,0.924647,0.932394,0.94076,0.914966,0.925897
102,0.947104,0.948183,0.940921,0.965829,0.950775,0.939515,0.955094,0.955283,0.948623,0.949715,0.947492,0.960347
103,0.939614,0.900865,0.955662,0.915912,0.94454,0.931895,0.953697,0.93998,0.94454,0.935375,0.959366,0.927798
104,0.956384,0.961322,0.961485,0.977003,0.970857,0.965517,0.951076,0.946031,0.964863,0.965845,0.956597,0.970619
105,0.961876,0.948096,0.957313,0.95122,0.947123,0.934827,0.93342,0.943562,0.958628,0.944821,0.946763,0.950435
106,0.96532,0.953711,0.951547,0.955412,0.965231,0.949673,0.936138,0.956373,0.97107,0.955121,0.945794,0.964095
107,0.920532,0.950787,0.921766,0.93516,0.930604,0.91462,0.905524,0.930108,0.928681,0.934388,0.917192,0.934439
108,0.960352,0.957695,0.955782,0.950284,0.973073,0.954895,0.950887,0.953481,0.971874,0.95996,0.95501,0.961061
109,0.959632,0.959473,0.964465,0.965166,0.939512,0.953216,0.957955,0.957447,0.951976,0.959384,0.96633,0.963863
110,0.965361,0.969668,0.959249,0.973243,0.951243,0.969823,0.959125,0.957898,0.963894,0.970039,0.966281,0.966741
111,0.941715,0.955462,0.879523,0.942833,0.955192,0.934487,0.92057,0.95071,0.951374,0.949124,0.902092,0.947938
112,0.946099,0.936538,0.912104,0.924318,0.948414,0.946862,0.923245,0.942432,0.95581,0.943673,0.923495,0.948037
113,0.89964,0.903059,0.877215,0.907921,0.886651,0.924929,0.845387,0.879377,0.896057,0.914825,0.86758,0.893735
114,0.952633,0.95286,0.935754,0.955385,0.959938,0.947304,0.943225,0.968789,0.9574,0.954163,0.941581,0.964363
115,0.912119,0.949136,0.953452,0.958713,0.946278,0.946771,0.926355,0.930248,0.931855,0.946034,0.957871,0.943152
116,0.927349,0.934029,0.940565,0.956195,0.929912,0.927826,0.927197,0.941841,0.928154,0.931942,0.931638,0.948095
117,0.962647,0.952474,0.935445,0.940661,0.933592,0.914331,0.904608,0.923742,0.944006,0.948201,0.923763,0.930912
118,0.866514,0.931373,0.853311,0.929639,0.884175,0.903933,0.83531,0.829138,0.877741,0.92689,0.845163,0.854959
119,0.933536,0.917845,0.933071,0.937354,0.948604,0.91003,0.910567,0.940621,0.947065,0.916527,0.924096,0.944911
120,0.952381,0.956673,0.932302,0.931682,0.926284,0.958333,0.924801,0.942388,0.941667,0.959026,0.935025,0.93975
121,0.947736,0.967201,0.94868,0.960326,0.963493,0.943652,0.941328,0.960586,0.956877,0.954244,0.95013,0.967054
122,0.945455,0.944238,0.934568,0.944467,0.946738,0.941904,0.927442,0.931384,0.947912,0.94188,0.930527,0.937908
123,0.940584,0.919245,0.896163,0.926299,0.91664,0.935191,0.91515,0.929591,0.932314,0.927852,0.915232,0.929175
124,0.931206,0.938482,0.918402,0.916446,0.923077,0.925731,0.918319,0.917158,0.929024,0.93862,0.9179,0.921148
125,0.953945,0.951209,0.912127,0.951115,0.925831,0.904782,0.900511,0.921273,0.937766,0.935115,0.906003,0.936838
126,0.973323,0.966057,0.968085,0.980734,0.9701,0.970078,0.957302,0.967359,0.980698,0.969156,0.966231,0.978091
127,0.937384,0.951319,0.931148,0.962039,0.949348,0.94729,0.910773,0.959404,0.946741,0.95041,0.953412,0.961653
128,0.971733,0.963991,0.958445,0.955155,0.967731,0.972982,0.963967,0.951543,0.969236,0.975561,0.973199,0.958691
129,0.937525,0.946586,0.947558,0.963355,0.929004,0.930922,0.912804,0.931809,0.933225,0.94025,0.931583,0.951358
130,0.95285,0.91958,0.926671,0.953959,0.951046,0.933216,0.937149,0.953448,0.950866,0.926641,0.937196,0.956278
131,0.980731,0.965957,0.945894,0.968016,0.972549,0.964064,0.952044,0.92654,0.980852,0.964648,0.949792,0.939317
132,0.979687,0.949528,0.931885,0.97596,0.967633,0.971807,0.915059,0.957588,0.976774,0.967309,0.92691,0.965344
133,0.96393,0.958348,0.953747,0.947632,0.949295,0.960831,0.929342,0.960663,0.955887,0.962938,0.942544,0.960665
134,0,0,0,0,0,0,0,0,0,0,0,0
135,0.936779,0.956393,0.850052,0.941176,0.926284,0.96077,0.862314,0.948162,0.935616,0.960726,0.854035,0.950795
136,0.943687,0.86991,0.914437,0.95677,0.950963,0.904541,0.876194,0.964925,0.960428,0.912934,0.896743,0.966954
137,0.976483,0.975385,0.946882,0.975212,0.973845,0.953682,0.937866,0.973836,0.977172,0.965924,0.947783,0.97619
138,0.938367,0.924757,0.890736,0.932981,0.925151,0.939729,0.918072,0.908696,0.929264,0.935261,0.905939,0.924407
139,0.967469,0.925385,0.945584,0.973507,0.916565,0.943326,0.961088,0.977947,0.95842,0.935866,0.966807,0.981356
140,0.955164,0.950544,0.960969,0.972644,0.944633,0.961692,0.904114,0.964046,0.965947,0.957228,0.932388,0.968708
141,0.925993,0.939988,0.778349,0.923054,0.940176,0.93608,0.768055,0.903857,0.938738,0.942883,0.772755,0.913416
142,0.899935,0.928594,0.862091,0.913198,0.885825,0.905147,0.885733,0.926993,0.898344,0.927634,0.883825,0.928802
143,0.904148,0.953236,0.931575,0.963644,0.961285,0.948633,0.864025,0.938925,0.937322,0.955019,0.893982,0.948602
144,0.940063,0.948108,0.917818,0.938768,0.952891,0.961898,0.926227,0.94339,0.951722,0.958559,0.925848,0.940084
145,0.949558,0.951488,0.929087,0.95274,0.93441,0.966557,0.90816,0.934804,0.940362,0.964694,0.92699,0.947644
146,0.963297,0.94315,0.96063,0.957606,0.956157,0.953496,0.940134,0.960723,0.959514,0.946417,0.957361,0.958229
147,0.906887,0.905079,0.924682,0.890378,0.895028,0.88018,0.933746,0.89287,0.902787,0.89986,0.936627,0.892696
148,0.963423,0.964691,0.936701,0.957134,0.954398,0.947506,0.953247,0.93099,0.960026,0.960573,0.950262,0.947556
149,0.950152,0.944763,0.937082,0.948675,0.931267,0.927419,0.906586,0.954193,0.939353,0.940047,0.927419,0.952925
